order,video_id,topic_category,hook_type,pacing_speed,duration_sec,views,likes,shares,comments,saves,engagement_rate_pct,title,url
1,"7688711061700168978","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",19,362800,50100,1498,583,766,15.63,"City of love 🤍🇫🇷","https://www.tiktok.com/@khairulaming/video/7688711061700168978"
2,"7683410508548230418","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",88,652100,49200,1339,1057,1542,8.8,"Alhamdulillah semalam kita berjaya pecahkan rekod baru, livestream TikTokShop pertama di Malaysia yang cecah jualan melebihi 1 juta dollar 🥹","https://www.tiktok.com/@khairulaming/video/7683410508548230418"
3,"7683026434993982738","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",115,4700000,59000,4684,543,2049,1.65,"Ini senarai barang KA akan jual petang ni 😁","https://www.tiktok.com/@khairulaming/video/7683026434993982738"
4,"7682768770749746439","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",81,3600000,126700,10100,870,4710,4.65,"Korang dah ready? 150,000 botol Sambal Bilis akan kita restock esok! 😁","https://www.tiktok.com/@khairulaming/video/7682768770749746439"
5,"7682355550603988242","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",83,6900000,169000,13200,980,6990,3.24,"Memperkenalkan “bandar” livestream pertama di Malaysia 21 top live sellers termasuk Khairulaming, Dato Alif Syukri, Dato Seri Vida, Anas, Caryn, Almiyaz dan ramai lagi akan bersiaran lansung serentak  150,000 botol Sambal Nyet Bilis akan KA keluarkan semasa livestream ni. Jemput tengok nanti 🥹","https://www.tiktok.com/@khairulaming/video/7682355550603988242"
6,"7681168130105724167","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",179,1500000,149500,11900,1750,4636,13.08,"Awak dah minum air ke belum? Kalau awak selalu lupa minum air, tengok video ni. Sibuk macam mana sekalipun jangan lupa minum air okeh","https://www.tiktok.com/@khairulaming/video/7681168130105724167"
7,"7680118731653090578","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",57,948400,77400,4252,566,1780,9.94,"Hari ni kita belanja roti jala merdeka untuk customers Rembayung 🇲🇾✨😙","https://www.tiktok.com/@khairulaming/video/7680118731653090578"
8,"7673844483271707922","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",135,1600000,103400,4412,1246,2386,7.67,"Ambil la dulu sebotol sorang, ni je stok yang ada kat KL 😆 Nanti kita bawa lagi  Mohon maaf boss dah berminggu tak datang kedai sebab focus launching. Rindunya semua team ku yang tercinta","https://www.tiktok.com/@khairulaming/video/7673844483271707922"
9,"7672999120285748498","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",30,3300000,306100,32000,3399,7660,12.75,"Ini hasil selepas turun 24kg dalam masa setahun Walaupun penat tak rehat dari tahun lepas, KA wajibkan pergi gym setiap hari dan jaga makan. Bermula dari zaman bina rembayung, shoot video puasa, sampai ke launching Sambal Bilis, tetap eat clean and bersenam. Ni hasil selepas setahun jaga disiplin 🥹","https://www.tiktok.com/@khairulaming/video/7672999120285748498"
10,"7671358223022034183","BEHIND_THE_SCENES_BISNES","CRAVING_SENSORY","RAPID_FIRE",89,2100000,134700,6483,2206,3883,7.82,"Terima kasih sebab beri kepercayaan kepada produk tempatan kita. KA terhutang budi dengan anda semua. From the bottom of my heart, thank you 🥺","https://www.tiktok.com/@khairulaming/video/7671358223022034183"
11,"7671174588222475538","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",84,5100000,288900,31900,2157,8689,7.92,"Hari yang ditunggu telah pun tiba. Malam ini kita akan bersiaran langsung dari puncak Merdeka 118 untuk majlis pelancaran Sambal Nyet Bilis Ajaklah keluarga dan kenalan anda untuk kita ramai-ramai berkumpul dan cipta sejarah baru. Malam ini untuk kita semua. Terima kasih sebab beri kepercayaan kat anak tempatan ni 🥺🇲🇾","https://www.tiktok.com/@khairulaming/video/7671174588222475538"
12,"7670884279659793672","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",299,6100000,679900,42500,5587,27400,14.23,"Ini short documentary yang KA buat untuk tunjuk titik peluh nelayan kita turun ke laut setiap hari untuk tangkap ikan bilis Tak mudah sebenarnya nak tangkap bilis ni. Kena guna sonar nak cari lubuk, tarik pukat yang berat, bila dah tangkap kena asingkan dengan hidupan laut lain, and bilis ni perlu direbus panas-panas dari atas kapal lagi sebelum dikeringkan di darat Semoga nelayan-nelayan kita dikurniakan rezeki yang melimpah. Terima kasih sebab berbakti untuk negara kita ❤️","https://www.tiktok.com/@khairulaming/video/7670884279659793672"
13,"7670513942061403400","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",176,7800000,542100,51200,6890,19300,9.5,"Majlis pelancaran Sambal Nyet Bilis akan bersiaran langsung dari puncak Merdeka 118, mercu tanda tertinggi di Malaysia dan kedua tertinggi di dunia. Menitik air mata edit video ni mengenangkan penat lelah berusaha dari dulu lagi. Enam tahun lepas botol Sambal Nyet yang pertama dilancarkan di satu kedai runcit tepi jalan, dan untuk sambal yang kedua kita akan lancarkan dari puncak tertinggi negara. Terima kasih kepada anda semua yang memberi kepercayaan kepada produk-produk tempatan kita 🥺","https://www.tiktok.com/@khairulaming/video/7670513942061403400"
14,"7670150600537001223","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",178,2400000,61700,5006,891,2968,3.48,"Inilah dia full details mengenai Sambal Nyet Bilis, including bahan-bahan, berat bersih, harga, cara simpan dan sebagainya Nervousnya nak launching. Barai dah ni tak tidur malam 🥹","https://www.tiktok.com/@khairulaming/video/7670150600537001223"
15,"7670033191809436946","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",179,5600000,232300,64100,3415,11900,8.07,"Lima pembeli terpantas yang beli lima botol Sambal Nyet Bilis akan diterbangkan ke Dolomites, Italy untuk bercuti bersama Khairulaming dan anda boleh bawa plus one. Semuanya ditaja sepenuhnya, tertakluk terma dan syarat 😄 Tahun lepas kita bawa pemenang ke New Zealand. Tahun ni kita pergi Europe pulak. So siapa korang nak bawa nanti? hehehe","https://www.tiktok.com/@khairulaming/video/7670033191809436946"
16,"7669660080459074834","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",176,10100000,727800,103100,9134,32800,11.01,"Memperkenalkan produk keempat Khairulaming Selepas 6 tahun berniaga dengan satu sambal sahaja, akhirnya kita dah bersedia untuk keluarkan sambal yang baru. Rasa yang berbeza, lebih kick dan menggunakan lebih banyak bahan Product launch kali ni akan jadi product launch terbesar yang KA pernah buat, jadi nantikan pengumuman seterusnya sepanjang minggu ni. Terima kasih guys for your support selama ni, pejam celik dah 6 tahun kita berniaga bersama 🥹 ","https://www.tiktok.com/@khairulaming/video/7669660080459074834"
17,"7663002347739565320","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",57,3200000,125000,7376,604,6209,5.0,"Siapa sini dah cuba Dendeng Nyet KA? terima kasih sangat for your support 🥹","https://www.tiktok.com/@khairulaming/video/7663002347739565320"
18,"7654046824185007367","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",520,2800000,216000,7148,3909,10600,9.38,"Di Rembayung KA minta bayi dikira dalam pax sebab dah macam-macam incident yang terjadi sepanjang 6 bulan berniaga tapi orang luar tak nampak. SOP ni saya wujudkan sebab nak protect keselamatan bayi dan kanak-kanak. Saya tak untung buat SOP ni, malah makin rugi sebab babies tak makan pun nasi. Tapi saya buat ni sebab nak protect keselamatan mereka. Bila ada seribu orang sehari, macam-macam benda boleh terjadi kat restoran. KA harap video ni boleh bagi penjelasan apa yang terjadi sebenarnya","https://www.tiktok.com/@khairulaming/video/7654046824185007367"
19,"7649623870709796104","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",44,2700000,70700,4418,526,4592,3.47,"Boleh tekan bag kuning kalau rindu nak makan rendang 🤤","https://www.tiktok.com/@khairulaming/video/7649623870709796104"
20,"7647834572738137352","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",126,4100000,289800,39600,2006,62300,13.05,"Rindunyaa students cikgu 🥹","https://www.tiktok.com/@khairulaming/video/7647834572738137352"
